Episode #,Title,Guest(s),Date,Duration,Topics,Description
1,"Alice Lascelles - The Martini, Journalism, Non-Alc, Tea Competitions, Drinks Trends",Alice Lascelles,2024-11-24,,Martini; journalism; non-alcoholic; tea; drinks trends,
2,Charles Spence - The Multisensory Science of Flavour,Charles Spence,2024-12-02,,multisensory science; flavour; psychology; perception,
3,"Ian Burrell - Rum Classification, Controversy, Spiced Rum, Origin Stories, Bars",Ian Burrell,2024-12-09,,rum classification; spiced rum; origin stories; bars,
4,"Sean Finter - The Hospitality Business, Succeeding, Sustainability, Motivation",Sean Finter,2024-12-16,,hospitality business; success; sustainability; motivation,
5,"Colin Dunn - Japanese Whisky, Islay, 19m casks, Brora, Port Ellen",Colin Dunn,2024-12-23,,Japanese whisky; Islay; rare casks; Brora; Port Ellen,
6,"Arielle Johnson - Food Chemistry, Fermentation, Molecules, Evolution, NOMA",Arielle Johnson,2024-12-30,,food chemistry; fermentation; molecules; NOMA,
7,"Vikram Achanta - Indigenous Indian Spirits, Indian Bar Culture, Indian Whisky, Awards",Vikram Achanta,2025-01-06,,Indian spirits; Indian bar culture; Indian whisky; awards,
8,"Angus Winchester - 36 Years of Bars, Tanqueray Ambassador, Classic Cocktails, Ukraine",Angus Winchester,2025-01-13,,bar industry; Tanqueray; classic cocktails; Ukraine,
9,"Adrian Bridge - CEO of Taylor's Port, History, Challenges & Innovation, Port Tourism",Adrian Bridge,2025-01-20,,Taylor's Port; port wine; port history; innovation; tourism,
10,"Dr. Nick Wykes - Setting Goals, Motivation, Internal Dialogue & Perspective",Dr. Nick Wykes,2025-01-27,,goals; motivation; internal dialogue; perspective; psychology,
11,"Ryan Chetiyawardana - Mr Lyan, Language of Drinking, Magic of Bars, Fermentation, Top Whiskies, Sustainability",Ryan Chetiyawardana,2025-02-03,,Mr Lyan; bar philosophy; fermentation; whiskies; sustainability,
12,"Andreia Esteves - History of Drinking Vessels, Egypt, Wine, Greek Symposium, Poison",Andreia Esteves,2025-02-10,,drinking vessels; Egypt; wine history; Greek Symposium; poison,
13,"James Hoffmann - Coffee, Caffeine, World Barista Championships, Coffee Economics, YouTube",James Hoffmann,2025-02-17,,coffee; caffeine; World Barista Championships; coffee economics; YouTube,
14,"Antonio Amorim - How Corks Are Made, Cork Performance, Cork Taint, Sustainability",Antonio Amorim,2025-02-24,,corks; cork production; cork taint; sustainability,
15,"Salvatore Calabrese - The Maestro, Record Breaking Cocktails, Dukes Martini, Celebrity",Salvatore Calabrese,2025-03-03,,record cocktails; Dukes Martini; celebrity; cocktail history,
16,"Isabel Graham-Yooll - Whisky Detective, Counterfeits, Secondary Market, Valuation, Whisky Investment",Isabel Graham-Yooll,2025-03-10,,whisky detective; counterfeits; secondary market; valuation; whisky investment,
17,"Jack Stein - Rick Stein, Television, What Chefs Eat, Fishing Industry, Cornwall",Jack Stein,2025-03-17,,Rick Stein; television; chefs; fishing industry; Cornwall,
18,"Charles MacLean MBE - The Scotchfather, Writing, How To Taste, Favourite Drams, Luxury Scotch, Historic Whisky, Charity, Legacy",Charles MacLean MBE,2025-03-24,,Scotch whisky; whisky tasting; luxury Scotch; historic whisky; charity,
19,"Ian Stirling - Building a Vertical Distillery, Port of Leith, Fermentation, Regeneration, Sherry, Legacy",Ian Stirling,2025-03-31,,vertical distillery; Port of Leith; fermentation; sherry; regeneration,
20,"Lyndon Higginson - UK's Greatest Bar Entrepreneur, Dive Bars, Inspiration, Rum, Manchester",Lyndon Higginson,2025-04-07,,bar entrepreneurship; dive bars; rum; Manchester,
21,"Dawn Davies MW - Wine Masterclass: Regions, Varieties, Terroir, Biodynamic, Natural, Tasting, Closures, Storage, Enjoyment",Dawn Davies MW,2025-04-14,,wine masterclass; wine regions; terroir; biodynamic; natural wine; tasting,
22,"Alessandro Palazzi - Dukes Hotel, Martinis, Ian Fleming, 50 Years of Bartending",Alessandro Palazzi,2025-04-21,,Dukes Hotel; Martinis; Ian Fleming; bartending career,
23,"Jamie Baxter - 100+ Distilleries Built, How To Make Gin, Baijiu",Jamie Baxter,2025-04-28,,distillery design; gin production; baijiu,
