# The Curious Bartender Podcast - Topic Analysis Report

## Most Discussed Topics (by frequency across episodes)

Rank   Topic                                         Episodes
--------------------------------------------------------------
1      fermentation                                         6
2      rum                                                  3
3      non-alcoholic                                        3
4      cocktail culture                                     3
5      tea                                                  3
6      mezcal                                               3
7      tequila                                              3
8      sustainability                                       3
9      community                                            2
10     creativity                                           2
11     career                                               2
12     cider                                                2
13     agriculture                                          2
14     tasting                                              2
15     apples                                               2
16     gin                                                  2
17     history                                              2
18     terroir                                              2
19     japanese whisky                                      2
20     distillation                                         2
21     flavour                                              2
22     brora                                                2
23     agave spirits                                        2
24     dick bradsell                                        2
25     martinis                                             2
26     vodka                                                2
27     awards                                               2
28     innovation                                           2
29     cocktail history                                     2
30     motivation                                           2
31     psychology                                           2
32     london cocktail week                                 1
33     pinnacle guide                                       1
34     bar ratings                                          1
35     london cocktail scene                                1
36     events                                               1
37     connaught bar                                        1
38     italian hospitality                                  1
39     martini trolley                                      1
40     photography                                          1
41     perry                                                1
42     orchards                                             1
43     herefordshire                                        1
44     somerset cider brandy                                1
45     craft distilling                                     1
46     pgi                                                  1
47     cask aging                                           1
48     british empire                                       1
49     churchill                                            1
50     fortified wine                                       1
51     bordeaux                                             1
52     flair bartending                                     1
53     competition                                          1
54     world flair association                              1
55     bar magic                                            1
56     wine                                                 1
57     soil science                                         1
58     rootstocks                                           1
59     wine education                                       1
60     cynicism                                             1
61     savoy hotel                                          1
62     american bar                                         1
63     harry craddock                                       1
64     hospitality history                                  1
65     retirement                                           1
66     social connection                                    1
67     healthspan                                           1
68     happiness                                            1
69     dry january                                          1
70     pubs                                                 1
71     pub history                                          1
72     cask ale                                             1
73     craft beer                                           1
74     guinness                                             1
75     british culture                                      1
76     drinks as art                                        1
77     bar concepts                                         1
78     ai in hospitality                                    1
79     drink design                                         1
80     philosophy                                           1
81     best of                                              1
82     year in review                                       1
83     highlights                                           1
84     2025                                                 1
85     cider production                                     1
86     cider history                                        1
87     english cider                                        1
88     american cider                                       1
89     appreciation                                         1
90     diffordsguide                                        1
91     class magazine                                       1
92     publishing                                           1
93     london bars                                          1
94     daiquiris                                            1
95     flavour science                                      1
96     microbes                                             1
97     food systems                                         1
98     gut health                                           1
99     chocolate                                            1
100    future of food                                       1
101    barbados rum                                         1
102    foursquare distillery                                1
103    rum distillation                                     1
104    rum history                                          1
105    cocktail writing                                     1
106    clyde common                                         1
107    50 best bars                                         1
108    trends                                               1
109    fuji gotemba                                         1
110    four roses                                           1
111    mizunara                                             1
112    san francisco bars                                   1
113    clear ice                                            1
114    alcohol as medicine                                  1
115    water sommeliers                                     1
116    food science                                         1
117    smell                                                1
118    aroma                                                1
119    writing                                              1
120    whisky scoring                                       1
121    clynelish                                            1
122    independent bottlers                                 1
123    wine casks                                           1
124    maturation                                           1
125    st george spirits                                    1
126    eau de vie                                           1
127    absinthe                                             1
128    whisky                                               1
129    brewing                                              1
